regulation_name,country,announced_date,enforcement_date,category,api_category,reference_point,purpose,keywords,official_link,status1,status2
Emerging Innovative Border Technologies Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/7832/text,Not in force,Placed on Senate Legislative Calendar under General Orders. Calendar No. 754.
Creating Resources for Every American To Experiment with Artificial Intelligence Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/5077?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=2&r=2,Not in force,Ordered to be Reported (Amended) by Voice Vote.
Small Business Artificial Intelligence Training and Toolkit Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4487/text,Not in force,Placed on Senate Legislative Calendar under General Orders. Calendar No. 487.
AI Leadership To Enable Accountable Deployment Act (LEAD) Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/8756/text,Not in force,"Referred to the Committee on Oversight and Accountability, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
Small Business Artificial Intelligence Advancement Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/9197?loclr=cga-search,Not in force,Ordered to be Reported (Amended) by Voice Vote.
Consumer Literacy and Empowerment to Advance Responsible Navigation (LEARN) of Artificial Intelligence (AI) Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4838/text,Not in force,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
"Nurture Originals, Foster Art, and Keep Entertainment Safe (NO FAKES) Act",United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4875/text,Not in force,Read twice and referred to the Committee on the Judiciary.
Healthy Technology Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/206?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=2&r=13,Not in force,Referred to the Subcommittee on Health.
AI Disclosure Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/3831?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=2&r=15,Not in force,"Referred to the Subcommittee on Innovation, Data, and Commerce."
National AI Commission Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/4223?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=3&r=18,Not in force,"Referred to the House Committee on Science, Space, and Technology."
ASK Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/1626/text?s=3&r=24&q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D,Not in force,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
